0101 12345
0102 34567
0103 56789
0104 78901
0105 90123
0106101234
0107 87654
0108 65432
0109 43210
0110 21098
0111 10000
0112 23456
0113 34567
0114 45678
0115 56789
0116 67890
0117 78901
0118 89012
0201 12345
0202 34567
0203 56789
0204 78901
0205 90123
0206101234
0207 87654
0208 65432
0209 43210
0210 21098
0211 10000
0212 23456
0213 34567
0214 45678
0215 56789
0216 67890
0217 78901
0218 89012
0301 12345
0302 34567
0303 56789
0304 78901
0305 90123
0306101234
0307 87654
0308 65432
0309 43210
0310 21098
0311 10000
0312 23456
0313 34567
0314 45678
0315 56789
0316 67890
0317 78901
0318 89012
0401 12345
0402 34567
0403 56789
0404 78901
0405 90123
0406101234
