188704860  396
18870486052  8
18870486031610
1887048609246
1327884    388
1327884  32024
1327884   5063
1327884  1 330
1327884  4 581
1327884  62145
1327884  29292
1327884  71427
1327884  11062
1354454  3 751
1354454  02698
1354454   1868
1354454  25
1354454  5 33
1354454   1324
1023662587 564
10236625851131
10236625842271
10236625882138
1023662582251
1023662583 84
17178  3342483
17178  3311325
17178  332857
17178  33 186
17178  33 234
17178  3322366
17178  330 145
17178  3300765
137    7141970
1    689251650
1    689217364
1    689212560
1    689261
1    68926175
1    6892 2095
1    689281745
1    689292  1
1    68929 472
1    689241718
1293884  4249
1293884  72852
1293884  22781
1293884  2 060
17686660415748
176866604 1360
17686660491  4
176866604 1  6
176866604 1516
1768666045262
176866604  044
11927658551
11927658552734
1192765855169
11927658521  6
1361840   2883
1361840  52  3
1361840  1   3
1361840  88212
1361840  50579
1361840   2206
1361840  9 62
1361840   4900
1  47611041930
1  47611012  7
1  476110 9234
1  47611085236
1  47611071  5
1  476110 1350
1  476110 8498
1  8025   1908
1  8025  50230
1  300489 5343
1  3004898 095
1  300489 2127
1  30048902978
1  30048936  1
1  3004892 973
1  3004890752
1  30048992142
1  300489 2585
1  3004892170
10881  35 1111
10881  3542699
12466226232572
12466226282886
12466226251348
12466226270581
1246622622246
12466226241586
1246622623267
1246622625 89
1246622621 241
124662262 282
1219511802 230
121951180 7706
12195118038212
121951180    8
18378  653 097
18378  651 458
18378  65  76
18378  6552  5
18378  651 956
18378  65  17
18378  655288
18378  6511  1
140  4282 2497
140  428281082
140  428224444
125535320 197
1  6107071297
1  6107076   6
1  61070751917
1  61070732389
1  61070751523
1  6107076152
1  1979357 192
10273046211541
173  99035   4
173  990391504
173  9903 0976
173  990391  0
173  990351980
173  99032148
173  99033 184
173  990321  3
173  9903  735
173  9903 1
167546575  844
16754657551  3
16754657511373
16754657511491
16754657541  1
1675465754238
16754657531654
16754657552  8
16754657512306
1675465754203
141  706891187
141  7068 1  9
141  706884364
141  7068 1885
141  706831622
18291  861 895
18291  8655  7
12294  19 1172
12294  1942  2
12294  1954727
12294  1905420
12294  1932
12294  192 319
12890208391829
12890208300615
12890208342326
128902083 2
12890208352221
12890208371574
177      02082
177      1106
177      51659
177      31  6
177      9   4
177      6 983
177      8   9
177      41  9
177       2176
13684692712523
150  79071167
150  79071723
150  79077196
150  7907 1980
17150148113471
171501481 2  6
1    10972 478
1    10972 117
1    109721976
1    1097 159
1    10972 067
1    1097  85
1    1097 1074
1    109742  5
1    1097 2421
1492639472 352
14926394718
149263947 5869
14926394730  9
1492639475 97
14926394711124
127  80624971
127  806244089
127  80621 720
127  806251195
127  80624 282
127  806221262
127  80622 680
127  806292193
127  80620 411
127  806264823
1141084  66550
1141084  18032
1141084  4
1141084  22593
1141084  95
1141084  5968
187442506 2233
18744250611  0
18744250692184
187442506 7714
155262151  764
15526215152  5
15526215152144
10986137912544
10986137931  1
10986137926050
10986137925262
10986137993850
10986137971911
109861379 1534
10986137952006
110  0829  726
110  0829 3
110  082931  4
110  08297 835
110  082981822
110  082912050
110  08294 09
1  62514056  5
1  62514091653
11661  70 177
11661  7012531
11661  7032470
1  01  2053  2
1  01  2011733
1  01  2092931
1  01  2028413
128  59  12513
128  59  21861
128  59  4197
14014501882035
140145018 4019
12777670158180
127776701 1622
12777670189729
127776701  12
136  5857 2  4
136  58577448
136  585712011
136  58576170
136  585741937
136  585798524
136  585741208
136  585741
185  08562 824
185  08563228
185  08563 36
185  085657725
185  085601411
185  085641368
185  0856  56
185  08564   0
185  085627287
17494  2942207
17494  2912711
17494  294216
170      0 423
109188272 0  6
10918827285291
10918827231963
10918827241442
1091882722 440
10918827252  4
131472317 2458
131472317 6672
13147231739881
100  60  32160
100  60  2282
100  60  15194
100  60   2  1
100  60   2  1
100  60  5271
100  60  88972
100  60  32967
100  60  22  2
100  60  62
19123  3622325
19123  36 623
19282451212601
19282451252081
192824512 261
1928245126 14
19282451201100
19282451202648
1928245128   2
16195755211784
1619575525003
150  48  31739
150  48  32540
150  48  9 761
150  48  8235
150  48  51073
150  48  3 274
11778  161   1
11778  1611092
11778  161203
11778  1651  1
17840592632  1
178405926 2908
178405926 1578
17840592670982
17840592632934
16686253152698
16686253122247
16686253192759
166862531 1777
17566789716128
1  99  7825624
1  99  785   6
1  99  7871824
1  99  7822
1  99  7835334
1  99  7852237
1  99  7812
1  99  78  715
1  99  7812818
1851833725 39
1851833723 464
18518337202350
18518337222  1
1  653756 8522
1  17108422046
1  1710840 464
1  1710845   0
1  17108430738
1  17108432  4
1  17108432335
1  17108425
12175206055588
121752060
12175206049908
14020  35 1  6
14020  352 220
14020  35 273
14020  3512728
14020  3542136
14020  354596
14020  350 121
14020  356 702
14020  3562411
124  25903237
124  2590 1555
1949542244 247
19495422462264
194954224 1  1
19495422437777
19495422425  8
16367  6113433
16367  6122784
16367  619 663
16367  61 2172
16367  61 1  2
16367  612 068
16367  61 2393
14395  3311743
14395  333258
14395  3382302
1  15  002237
1  15  0028395
1  15  0041011
1  15  0012077
1  15  001 584
1  15  0091268
1  15  0021907
1  15  00  80
1  15  0021971
15430257612792
1    359649075
1    35965187
1    35964 58
1    35969   0
1    35960219
1    359662073
1    35964293
174  43  12  2
174  43  29894
174  43  60  9
174  43  30168
1  128588 2
1  5676244 241
1  567624 2  0
1  5676245 975
1  567624 582
1  567624 1
1  56762480143
1  567624 2889
1  56762415680
1  56762452465
12294  9122591
12294  9142716
12294  9152284
12294  9171
12294  9122738
12294  9151372
12294  915237
12294  91 1886
12294  9131663
1  58323702268
1  58323718511
1  5832372161
1  58323780633
1  5832370296
1449249783297
144924978 1966
14492497853266
14492497814497
14492497811638
1449249782 32
14492497801604
144924978  060
17378410326618
17378410351677
173784103 1757
173784103 1694
17378410351048
1737841038131
17378410341  1
1737841031103
1737841035281
17378410339441
